pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,avg_fare,trip_count
-74.002197265625,40.739551544189446,-73.94120025634764,40.7058982849121,3950611.6,1
-73.99163818359375,40.754615783691406,-73.98046112060547,40.76324081420898,111271.65,1
-73.92290496826173,40.793941497802734,-73.80933380126953,40.988037109375,7122.16,1
-73.97665405273438,40.76508712768555,-73.96151733398438,40.7795295715332,4009.3,1
-73.96153259277344,40.77063751220703,-73.97850799560547,40.74951553344727,4009.3,1
-73.9564208984375,40.76701354980469,-73.9344253540039,40.7972412109375,4002.05,1
-74.01433563232422,40.711856842041016,-73.98519134521484,40.76046371459961,3006.35,1
-73.99396514892578,40.72998809814453,-73.99607849121092,40.73007583618164,2115.97,1
-73.98719787597656,40.694801330566406,-73.98732757568358,40.695945739746094,2021.17,1
-73.99701690673827,40.75802230834961,-73.99696350097656,40.75789260864258,2021.17,1
